PointName,Lng,Lat,Score
格瑞雅居小区3,116.6375115,39.88608061,15.44
葛渠村,116.6455489,40.01036688,3.78
葛渠村市场,116.6428027,40.01544029,1
葛渠村西,116.6359384,40.01756806,1.56
耿庄桥北1,116.6802188,39.92588717,13.78
耿庄桥北2,116.6800553,39.92624595,14.33
耿庄桥北3,116.6800382,39.92607018,14.89
耿庄桥北4,116.6800703,39.92620797,15.44
耿庄桥北5,116.6800613,39.926038,14.89
耿庄桥北6,116.6800723,39.92597492,14.89
耿庄桥南7,116.6828487,39.91586209,4.89
耿庄桥南8,116.6828765,39.91582997,4.89
供给店村,116.7993333,39.81312811,3.22
古城西桥公交场站,116.7038505,39.91666363,1.56
故城东路北口,116.6702436,39.90698253,10.44
瓜厂,116.7050889,39.83698964,3.22
瓜厂南口,116.7090858,39.8342241,2.11
关辛庄,116.7492762,39.99956038,7.11
管头村,116.6119187,40.02000272,3.78
管头村北口,116.6086723,40.0251129,2.11
管头工业区,116.6083374,40.02920592,2.11
管头工业区南,116.6084601,40.02677868,2.11
管庄路口北,116.5853245,39.91345674,42.67
国风美仑小区,116.5815229,39.76659154,9.33
果村,116.6969037,39.7046505,2.11
果园北1,116.6505448,39.89377394,24.89
果园北2,116.6505747,39.8939439,20.44
果园东1,116.653273,39.89077276,2.11
果园东2,116.6534744,39.89065959,2.11
果园环岛北1,116.6505222,39.89381353,23.78
果园环岛北2,116.6506157,39.89364595,26.56
果园环岛北3,116.6505349,39.89379,24.33
果园环岛南1,116.6492955,39.88941337,21.56
果园环岛南2,116.6492456,39.88912538,28.22
果园环岛西1,116.6471586,39.89104102,8.78
果园环岛西2,116.6472014,39.89102196,9.33
果园环岛西3,116.6472172,39.89102983,8.78
果园环岛西4,116.6470349,39.8910771,8.22
果园环岛西5,116.6471726,39.89105201,8.78
果园南,116.6492267,39.88908339,28.78
合景中心,116.6762906,39.90665371,1.56
合生世界村,116.5395717,39.73705794,21
和合站村,116.8650788,39.77579555,1
侯东仪村,116.8969085,39.81882732,3.22
侯各庄村路口,116.9076631,39.81828459,2.11
后北营1,116.7307803,39.91093948,1.56
后北营2,116.7307883,39.91089736,1.56
后地村,116.7922945,39.75071791,1.56
后地村北口,116.7894696,39.75915579,1.56
后伏村,116.6732411,39.68594875,2.11
后尖平村1,116.8670755,39.73005584,2.11
后尖平村2,116.8670711,39.73007719,2.11
后南仓1,116.6450508,39.90045254,13.78
后南仓2,116.645084,39.900431,13.22
后南仓3,116.6451358,39.90042501,11
后南关村,116.7074445,39.7660194,2.11
后夏公庄1,116.7257193,39.94093853,39.89
后夏公庄2,116.7257153,39.94101354,37.67
后夏公庄3,116.7257073,39.94103753,37.11
后夏公庄4,116.7256844,39.94108503,37.11
后夏公庄5,116.7257103,39.94098955,38.22
后堰上村,116.6268784,39.7727788,1.56
胡各庄1,116.7284331,39.91399067,2.67
胡各庄2,116.7284241,39.91409054,2.11
胡各庄3,116.728468,39.91398065,2.67
胡各庄4,116.7284548,39.91399434,2.67
胡各庄西1,116.7220654,39.91459593,2.11
胡各庄西2,116.7218588,39.91461294,2.67
胡各庄西3,116.7220288,39.91461523,2.11
胡各庄乡政府,116.7218867,39.91473993,2.11
胡各庄新村1,116.7288323,39.90951304,2.67
胡各庄新村2,116.7286716,39.90948402,2.67
胡各庄新村西1,116.7248996,39.90922942,3.22
胡各庄新村西2,116.7250433,39.90919941,3.22
胡家垡村,116.6110857,39.83321619,2.11
