pts.lon,pts.lat,pts.amenity
-73.9725957,40.7628575,commercial
-73.9725946,40.7622298,commercial
-73.9853976,40.7693341,commercial
-73.9800745,40.7536119,commercial
-73.9821917,40.7500222,commercial
-73.9803977,40.7538587,commercial
-73.968531,40.7509022,commercial
-73.9716052,40.7509338,commercial
-73.9710503,40.7495248,commercial
-73.9756395,40.7522207,commercial
-73.9774762,40.7512681,commercial
-73.9769311,40.7514317,commercial
-73.9753311,40.7595422,commercial
-73.9792807,40.7545999,commercial
-73.9790752,40.7548279,commercial
-73.9786166,40.755448,commercial
-73.9724797,40.7602936,commercial
-73.9728688,40.7606562,commercial
-73.9728688,40.7606562,commercial
-73.9763338,40.7594374,commercial
-73.9745753,40.7605018,commercial
-73.9767254,40.7573291,commercial
-73.9746573,40.7573661,commercial
-73.9779797,40.7560577,commercial
-73.9786466,40.7555275,commercial
-73.9735539,40.7587247,commercial
-73.9867685,40.756562,commercial
-73.989459,40.7566429,commercial
-73.9914033,40.7574096,commercial
-73.9869319,40.7575114,commercial
-73.9871546,40.7572049,commercial
-73.9842741,40.7599924,commercial
-73.9843745,40.7612283,commercial
-73.9835491,40.7609872,commercial
-73.9833303,40.7628548,commercial
-73.9829701,40.7573508,commercial
-73.9801875,40.7552893,commercial
-73.9798206,40.7557922,commercial
-73.9825551,40.7603852,commercial
-73.9818212,40.760576,commercial
-73.9771203,40.7597821,commercial
-73.9821749,40.7547745,commercial
-73.9798149,40.7597315,commercial
-73.9815791,40.7542416,commercial
-73.9804222,40.7553883,commercial
-73.9865209,40.756005,commercial
-73.9818763,40.7565451,commercial
-73.9807833,40.7539084,commercial
-73.9706814,40.7607961,commercial
-73.9719633,40.7608047,commercial
-73.9620128,40.7713261,commercial
-73.9519617,40.7695798,commercial
-73.9601507,40.7792825,commercial
-73.9600714,40.7793604,commercial
-73.9602364,40.7794303,commercial
-73.9791556,40.772958,commercial
-73.9649646,40.8047101,commercial
-73.941379,40.8066509,commercial
-73.9513333,40.8090986,commercial
-73.9547221,40.8120107,commercial
-74.0090879,40.7097124,commercial
-74.0115447,40.7058484,commercial
-73.9782368,40.7620874,commercial
-73.9329359,40.7056356,commercial
-73.9507025,40.7230398,commercial
-73.9907606,40.7707545,commercial
-73.9281724,40.8072867,commercial
-73.9255842,40.806227,commercial
-74.0048989,40.7239768,commercial
-73.9941697,40.744619,commercial
-73.9459054,40.8084657,commercial
-74.0007375,40.7526844,commercial
-73.9852738,40.7595862,commercial
-73.981704,40.7590303,commercial
-73.9788479,40.7576932,commercial
-73.9806306,40.7593309,commercial
-73.9757397,40.7539271,commercial
-73.9855693,40.7556002,commercial
-73.974695,40.7634587,commercial
-73.9719686,40.7630974,commercial
-73.9848598,40.7549966,commercial
-73.9780467,40.7587947,commercial
-73.9782699,40.7584844,commercial
-73.970819,40.7507948,embassy
-73.9686816,40.7566936,embassy
-73.9696515,40.7534938,embassy
-73.9823365,40.7577419,embassy
-73.9699678,40.7532871,embassy
-73.9725389,40.7536995,embassy
-73.9788709,40.7478376,embassy
-73.9669398,40.7531571,embassy
-73.9684197,40.7510924,embassy
-73.972211,40.7535137,embassy
-73.9700084,40.7525212,embassy
-73.9689428,40.7503754,embassy
-73.9696086,40.7506971,embassy
-73.9731673,40.7512213,embassy
