lon,lat,amenity
-73.9620178,40.8104995,school
-73.9603274,40.8098142,school
-73.9594918,40.8094549,school
-73.9592062,40.8093313,school
-73.9590963,40.8094818,school
-73.9587153,40.8100035,school
-73.9582729,40.8106295,school
-73.9582175,40.8106022,school
-73.9576214,40.8103468,school
-73.9574963,40.8102946,school
-73.957462,40.810277,school
-73.9576769,40.8099817,school
-73.9573866,40.8098524,school
-73.9572829,40.8098087,school
-73.9571124,40.8097456,school
-73.957115,40.8097194,school
-73.9571227,40.809674,school
-73.9571338,40.8096373,school
-73.9571448,40.8096008,school
-73.9571761,40.8095297,school
-73.957245,40.809404,school
-73.9847166,40.7177217,school
-73.9841999,40.7187336,school
-73.983519,40.7185339,school
-73.9840356,40.717522,school
-73.9847166,40.7177217,school
-73.9866404,40.7196336,school
-73.9859671,40.7194344,school
-73.9854057,40.7204713,school
-73.9861252,40.7206732,school
-73.9866404,40.7196336,school
-73.9288604,40.7724631,school
-73.9288454,40.7722877,school
-73.9288017,40.7722896,school
-73.9286977,40.7722943,school
-73.9286892,40.7722948,school
-73.9286085,40.7722996,school
-73.928551,40.772303,school
-73.9285595,40.7724036,school
-73.9286158,40.7724,school
-73.9286222,40.7724204,school
-73.9286375,40.7724379,school
-73.928658,40.7724544,school
-73.9286837,40.7724679,school
-73.9287118,40.7724738,school
-73.9288604,40.7724631,school
-73.9876546,40.7288916,school
-73.9876886,40.7288454,school
-73.987695,40.7288482,school
-73.9879103,40.7289394,school
-73.9878757,40.7289857,school
-73.987809,40.7289573,school
-73.9877296,40.7289235,school
-73.9876546,40.7288916,school
-73.9624867,40.8000586,school
-73.9634283,40.800453,school
-73.9633982,40.8004941,school
-73.9631039,40.8008968,school
-73.9630743,40.8009372,school
-73.9621327,40.8005428,school
-73.9624867,40.8000586,school
-73.9932855,40.7353704,school
-73.9932635,40.7353612,school
-73.9934403,40.7351174,school
-73.9939103,40.7353146,school
-73.9935472,40.7358152,school
-73.9930991,40.7356273,school
-73.9932855,40.7353704,school
-73.9801259,40.7438353,school
-73.9800434,40.7439454,school
-73.9799767,40.7439165,school
-73.9799729,40.7439215,school
-73.9797488,40.7438243,school
-73.9797621,40.7438067,school
-73.9797467,40.7438,school
-73.9797779,40.7437585,school
-73.9797921,40.7437646,school
-73.9798214,40.7437256,school
-73.9798363,40.743732,school
-73.9798489,40.7437151,school
-73.9798858,40.7437311,school
-73.9799973,40.7437795,school
-73.9800762,40.7438137,school
-73.9801259,40.7438353,school
-74.0019705,40.7291372,school
-74.0020526,40.7291776,school
-74.0021216,40.7292116,school
-74.001936,40.7294297,school
-74.0017849,40.7293554,school
-74.0019556,40.7291547,school
-74.0019705,40.7291372,school
-73.9971308,40.7290516,school
-73.9977056,40.7293291,school
-73.9974998,40.7295738,school
-73.9973048,40.7298058,school
-73.9970233,40.7296699,school
-73.99673,40.7295282,school
-73.996937,40.7292821,school
-73.9971308,40.7290516,school
-73.980406,40.727164,school
-73.9805648,40.7272306,school
-73.9805578,40.7272403,school
-73.9804636,40.7273704,school
-73.9804139,40.727439,school
-73.9802551,40.7273725,school
-73.9803173,40.7272866,school
-73.980406,40.727164,school
-73.998984,40.7346891,school
-73.9989944,40.734684,school
-73.9992054,40.7343965,school
-73.9992573,40.7344185,school
-73.9992309,40.7344546,school
-73.9993044,40.7344858,school
-73.9993301,40.734526,school
-73.9993037,40.734562,school
-73.9993094,40.7345644,school
-73.999329,40.7346115,school
-73.9992973,40.7346548,school
-73.9992303,40.7346695,school
-73.9992358,40.7346978,school
-73.9992494,40.7346963,school
-73.9992543,40.7347216,school
-73.9990597,40.7347436,school
-73.9990514,40.7347506,school
-73.9990412,40.7347559,school
-73.9990296,40.7347593,school
-73.9990174,40.7347605,school
-73.9990113,40.7347603,school
-73.9989993,40.7347582,school
-73.9989883,40.7347541,school
-73.9989789,40.7347481,school
-73.9989715,40.7347405,school
-73.9989667,40.7347319,school
-73.9989653,40.7347273,school
-73.9989647,40.7347179,school
-73.998967,40.7347086,school
-73.998972,40.7346999,school
-73.998984,40.7346891,school
-74.0052088,40.7298308,school
-74.0051507,40.7298505,school
-74.0051938,40.7297727,school
-74.005386,40.7297774,school
-74.0054562,40.7297792,school
-74.005404,40.7300379,school
-74.0052553,40.7300856,school
-74.005245,40.730029,school
-74.00523,40.7299469,school
-74.0052088,40.7298308,school
-73.9970481,40.7352962,school
-73.9972876,40.7353981,school
-73.9972697,40.7354225,school
-73.9971333,40.7356081,school
-73.9971133,40.7356352,school
-73.9970819,40.7356218,school
-73.9970782,40.7356268,school
-73.9968971,40.7355498,school
-73.9969009,40.7355446,school
-73.996874,40.7355332,school
-73.9969534,40.7354251,school
-73.9970481,40.7352962,school
-73.972715,40.7358288,school
-73.9731065,40.7359936,school
-73.9731149,40.7359821,school
-73.9731049,40.7359779,school
-73.9731281,40.7359461,school
-73.973208,40.7359798,school
-73.9731772,40.7360221,school
-73.9739251,40.7363368,school
-73.9735569,40.7368431,school
-73.9728159,40.7365312,school
-73.972715,40.7358288,school
-73.9936738,40.7166531,school
-73.993671,40.7166588,school
-73.9935971,40.7166378,school
-73.9935805,40.7166322,school
-73.9935729,40.7166279,school
-73.9935699,40.7166251,school
-73.9935657,40.7166187,school
-73.9935643,40.7166115,school
-73.9935658,40.7166044,school
-73.9935891,40.7165745,school
-73.9935823,40.7165585,school
-73.9935788,40.7165419,school
-73.9935783,40.7165335,school
-73.9935798,40.7165167,school
-73.9935885,40.7164899,school
-73.9935271,40.7164718,school
-73.993529,40.7164681,school
-73.9935099,40.7164625,school
-73.9934762,40.7165288,school
-73.9934734,40.7165312,school
-73.9934663,40.7165345,school
-73.9934581,40.7165355,school
-73.99345,40.7165343,school
-73.9934431,40.7165308,school
-73.9934383,40.7165257,school
-73.9934351,40.7165168,school
-73.9934285,40.7165298,school
-73.9932654,40.7164819,school
-73.9932439,40.7165243,school
-73.9930854,40.7164777,school
-73.9930757,40.716473,school
-73.9930575,40.7164621,school
-73.9930414,40.7164495,school
-73.9930276,40.7164354,school
-73.9930216,40.7164278,school
-73.9930118,40.7164119,school
-73.9930079,40.7164036,school
-73.9930025,40.7163865,school
-73.9930009,40.7163778,school
-73.9929999,40.7163602,school
-73.9930021,40.7163427,school
-73.9930098,40.7163166,school
-73.9930236,40.716285,school
-73.9931356,40.7160645,school
-73.9931403,40.7160584,school
-73.9931516,40.7160472,school
-73.9931581,40.7160421,school
-73.9931726,40.7160334,school
-73.9931846,40.7160281,school
-73.9931974,40.7160239,school
-73.9932062,40.7160218,school
-73.9932245,40.7160192,school
-73.9932337,40.7160189,school
-73.9932522,40.7160198,school
-73.9932703,40.716023,school
-73.9932831,40.7160279,school
-73.9935133,40.7160956,school
-73.9936873,40.7157531,school
-73.9937975,40.7157856,school
-73.9937758,40.7158284,school
-73.9939096,40.7158677,school
-73.9939205,40.7158657,school
-73.9939426,40.7158634,school
-73.993965,40.7158632,school
-73.9939872,40.7158652,school
-73.9940088,40.7158694,school
-73.9940194,40.7158723,school
-73.9940395,40.7158796,school
-73.9940583,40.7158888,school
