lon,lat,home
-73.9861364,40.7262855,residential
-73.9846822,40.7256753,residential
-73.985102,40.7251007,residential
-73.9844983,40.7248474,residential
-73.9848522,40.7243631,residential
-73.9864235,40.7250224,residential
-73.9873243,40.7237895,residential
-73.9878109,40.7239937,residential
-73.9400408,40.7895129,residential
-73.9404324,40.7889525,residential
-73.9382276,40.7880264,residential
-73.937954,40.7886397,residential
-73.9400408,40.7895129,residential
-73.945906,40.7952906,residential
-73.9467007,40.7941885,residential
-73.9453719,40.7936239,residential
-73.9445577,40.7947383,residential
-73.945906,40.7952906,residential
-73.9479936,40.7924354,residential
-73.9486058,40.7915799,residential
-73.9480359,40.7913308,residential
-73.9474237,40.7921987,residential
-73.9479936,40.7924354,residential
-73.941384,40.8130344,residential
-73.9415717,40.8127786,residential
-73.9411372,40.8126,residential
-73.9415824,40.811991,residential
-73.9394742,40.8111058,residential
-73.9390665,40.8116661,residential
-73.9386803,40.8114997,residential
-73.938219,40.812129,residential
-73.9385408,40.8122752,residential
-73.9381117,40.8128679,residential
-73.9387018,40.8131075,residential
-73.9391846,40.8124376,residential
-73.9395279,40.8125878,residential
-73.9399034,40.8120803,residential
-73.9405739,40.8123645,residential
-73.9401233,40.8129694,residential
-73.939839,40.8128476,residential
-73.9394045,40.8134363,residential
-73.9400697,40.8136962,residential
-73.9406061,40.8129573,residential
-73.9408475,40.8130466,residential
-73.940987,40.8128639,residential
-73.941384,40.8130344,residential
-73.9556753,40.8032251,residential
-73.9558884,40.8029333,residential
-73.9558486,40.8029166,residential
-73.9560727,40.8026187,residential
-73.9542619,40.8018643,residential
-73.9540544,40.8021629,residential
-73.9547374,40.8024535,residential
-73.9546299,40.8025976,residential
-73.9545257,40.8027444,residential
-73.9556753,40.8032251,residential
-73.9371054,40.8068121,residential
-73.9367146,40.807352,residential
-73.9356627,40.8069058,residential
-73.93606,40.8063635,residential
-73.9371054,40.8068121,residential
-73.9485236,40.7948387,residential
-73.9471664,40.7942685,residential
-73.947563,40.7937175,residential
-73.9489348,40.7942768,residential
-73.9485236,40.7948387,residential
-73.947603,40.7960645,residential
-73.9463076,40.7955136,residential
-73.9466751,40.7949902,residential
-73.9479923,40.7955467,residential
-73.947603,40.7960645,residential
-74.0023097,40.7501449,residential
-74.003152,40.7489867,residential
-74.0019825,40.7484787,residential
-74.0015909,40.7490233,residential
-74.0008453,40.7490354,residential
-74.0008506,40.7491614,residential
-74.0005663,40.7491817,residential
-74.0005824,40.7494256,residential
-74.001033,40.7496085,residential
-74.0012154,40.7493443,residential
-74.0015587,40.7494825,residential
-74.001607,40.7494175,residential
-74.0018004,40.7495054,residential
-74.0017357,40.7495841,residential
-74.0017679,40.7497873,residential
-74.0017036,40.7498848,residential
-74.0023097,40.7501449,residential
-74.0019825,40.7484787,residential
-74.0009204,40.7480276,residential
-74.0005288,40.7485722,residential
-74.0015909,40.7490233,residential
-74.0019825,40.7484787,residential
-73.9810817,40.7191146,residential
-73.9818821,40.7193549,residential
-73.9827679,40.7175432,residential
-73.981974,40.7173028,residential
-73.9810817,40.7191146,residential
-73.9803154,40.7384141,residential
-73.9806538,40.737943,residential
-73.9785965,40.7370826,residential
-73.9783708,40.7373955,residential
-73.9786854,40.7375398,residential
-73.9787353,40.7374707,residential
-73.9791228,40.737627,residential
-73.9787166,40.7381747,residential
-73.978963,40.7382802,residential
-73.9787501,40.7385869,residential
-73.9793791,40.738847,residential
-73.9798304,40.7382268,residential
-73.9794679,40.738074,residential
-73.9796168,40.7378703,residential
-73.9799687,40.7380246,residential
-73.979837,40.7382079,residential
-73.9803154,40.7384141,residential
-73.9609567,40.7083178,residential
-73.9610951,40.7075564,residential
-73.9585169,40.7072986,residential
