,long,lat,id,num
6339,-73.9889704,40.7658664,7.0567,411
6340,-73.9847166,40.7177217,7.0667,123
6341,-73.9841999,40.7187336,7.0668,145
6342,-73.983519,40.7185339,7.0669,112
6343,-73.9840356,40.717522,7.067,97
6344,-73.9847166,40.7177217,7.0671,123
6345,-73.9866404,40.7196336,7.0672,249
6346,-73.9859671,40.7194344,7.0673,220
6347,-73.9854057,40.7204713,7.0674,182
6348,-73.9861252,40.7206732,7.0675,255
6349,-73.9866404,40.7196336,7.0676,249
6350,-73.9876546,40.7288916,7.0692,380
6351,-73.9876886,40.7288454,7.0693,387
6352,-73.987695,40.7288482,7.0694,386
6353,-73.9879103,40.7289394,7.0695,367
6354,-73.9878757,40.7289857,7.0696,371
6355,-73.987809,40.7289573,7.0697,380
6356,-73.9877296,40.7289235,7.0698,382
6357,-73.9876546,40.7288916,7.0699,380
6358,-73.9932855,40.7353704,7.0707,951
6359,-73.9932635,40.7353612,7.0708,951
6360,-73.9934403,40.7351174,7.0709,902
6361,-73.9939103,40.7353146,7.071,913
6362,-73.9935472,40.7358152,7.0711,984
6363,-73.9930991,40.7356273,7.0712,998
6364,-73.9932855,40.7353704,7.0713,951
6365,-73.9801259,40.7438353,7.0714,865
6366,-73.9800434,40.7439454,7.0715,848
6367,-73.9799767,40.7439165,7.0716,840
6368,-73.9799729,40.7439215,7.0717,840
6369,-73.9797488,40.7438243,7.0718,807
6370,-73.9797621,40.7438067,7.0719,807
6371,-73.9797467,40.7438,7.072,806
6372,-73.9797779,40.7437585,7.0721,808
6373,-73.9797921,40.7437646,7.0722,811
6374,-73.9798214,40.7437256,7.0723,804
6375,-73.9798363,40.743732,7.0724,807
6376,-73.9798489,40.7437151,7.0725,806
6377,-73.9798858,40.7437311,7.0726,815
6378,-73.9799973,40.7437795,7.0727,833
6379,-73.9800762,40.7438137,7.0728,856
6380,-73.9801259,40.7438353,7.0729,865
6381,-74.0019705,40.7291372,7.073,629
6382,-74.0020526,40.7291776,7.0731,626
6383,-74.0021216,40.7292116,7.0732,630
6384,-74.001936,40.7294297,7.0733,619
